Brand,Fuel_Type,Transmission,Owner_Type,Year,Engine_CC,Mileage,Kilometers_Driven,Seats,Price_Lakhs
Hyundai,CNG,Manual,Third,2013,1400.0,21.1,124729,5.0,4.81
Renault,Petrol,Manual,First,2025,2000.0,20.8,32586,5.0,12.57
Toyota,Petrol,Manual,Third,2013,800.0,18.3,58053,7.0,7.31
Kia,Diesel,Manual,First,2014,1400.0,21.8,91346,5.0,9.03
Volkswagen,Petrol,Manual,Second,2023,1200.0,23.0,72087,7.0,12.94
Nissan,CNG,Manual,Second,2023,2000.0,22.6,148697,7.0,11.44
Kia,Petrol,Manual,First,2014,1400.0,16.2,39397,5.0,8.68
Tata,CNG,Automatic,Second,2012,1800.0,21.5,63671,5.0,7.48
Hyundai,Petrol,Automatic,Second,2025,2200.0,18.7,121214,5.0,12.09
Tata,Diesel,Manual,First,2014,1800.0,24.0,71897,7.0,9.78
Kia,Petrol,Manual,First,2017,1600.0,17.6,141355,5.0,9.82
Renault,CNG,Manual,Second,2019,1600.0,16.8,143682,5.0,8.37
Nissan,Petrol,Manual,Second,2024,1400.0,15.9,19924,5.0,9.87
Nissan,Petrol,Manual,Second,2023,2200.0,18.7,118143,7.0,10.41
Maruti,CNG,Manual,Second,2025,800.0,19.6,115253,7.0,9.48
Nissan,Petrol,Manual,First,2021,1800.0,19.7,105297,5.0,10.36
Volkswagen,Diesel,Manual,Second,2017,800.0,19.2,5869,6.0,9.54
Nissan,Diesel,Automatic,First,2016,2200.0,20.3,102088,5.0,10.23
Kia,Petrol,Manual,First,2015,800.0,17.2,6014,5.0,9.77
Maruti,Diesel,Manual,First,2014,2200.0,14.9,15103,7.0,9.37
Kia,Diesel,Automatic,First,2024,1400.0,14.6,115317,5.0,13.86
Kia,CNG,Manual,First,2015,800.0,21.4,87409,5.0,9.4
Honda,Petrol,Manual,First,2025,1800.0,19.6,28248,4.0,14.38
Maruti,Petrol,Manual,Second,2018,1200.0,11.5,13024,7.0,7.56
Kia,CNG,Manual,First,2012,1600.0,21.8,90947,7.0,8.57
Honda,Diesel,Automatic,First,2018,1200.0,24.6,96829,5.0,12.5
Honda,Petrol,Automatic,First,2012,800.0,15.5,97708,7.0,7.15
Maruti,Diesel,Manual,First,2013,1200.0,19.2,91664,5.0,6.2
Tata,Petrol,Manual,First,2015,1800.0,16.3,148927,5.0,4.54
Renault,Petrol,Manual,First,2012,,20.2,90178,5.0,6.7
Volkswagen,Petrol,Manual,First,2022,800.0,13.9,106121,5.0,8.73
Renault,Petrol,Manual,Second,2023,1400.0,17.7,25025,5.0,11.17
Nissan,Diesel,Automatic,First,2022,1200.0,21.4,140530,7.0,12.13
Volkswagen,Petrol,Manual,First,2022,1400.0,22.3,68610,4.0,11.82
Nissan,CNG,Automatic,First,2020,1400.0,19.5,75843,5.0,10.38
Kia,CNG,Manual,Second,2023,2200.0,16.8,112237,5.0,11.66
Hyundai,Diesel,Manual,First,2017,1000.0,12.4,135299,5.0,8.05
Maruti,Petrol,Manual,First,2024,800.0,15.3,10668,7.0,8.61
Volkswagen,Petrol,Automatic,First,2012,1600.0,16.4,78233,5.0,10.14
Volkswagen,Diesel,Automatic,First,2012,1800.0,15.6,86982,5.0,10.25
Kia,Diesel,Automatic,First,2017,1800.0,18.2,111133,7.0,12.08
Tata,Petrol,Manual,First,2015,800.0,16.8,15751,5.0,5.85
Honda,CNG,Manual,First,2015,2200.0,18.6,51218,5.0,10.49
Kia,Diesel,Automatic,First,2022,2000.0,22.2,131649,5.0,14.28
Ford,CNG,Manual,First,2017,2000.0,16.6,12352,5.0,8.29
Honda,Diesel,Manual,Second,2025,2000.0,13.2,93835,7.0,13.76
Maruti,Diesel,Manual,Second,2023,2200.0,15.5,102493,7.0,11.15
Honda,Petrol,Automatic,Second,2022,1600.0,20.0,33927,5.0,12.26
Tata,CNG,Automatic,Third,2018,1800.0,20.4,106948,7.0,9.51
Honda,Diesel,Manual,First,2020,800.0,19.4,34493,5.0,10.03
Maruti,Petrol,Manual,First,2021,2200.0,22.6,36707,4.0,11.82
Tata,Petrol,Automatic,First,2016,1800.0,17.3,143368,5.0,9.5
Renault,Petrol,Manual,First,2020,1400.0,25.2,40842,5.0,10.4
Volkswagen,Diesel,Manual,Second,2015,1200.0,20.9,18261,5.0,9.66
Volkswagen,CNG,Automatic,First,2024,1200.0,10.0,81709,5.0,14.21
Nissan,Petrol,Manual,Second,2021,2200.0,24.3,100985,7.0,10.64
Renault,Diesel,Manual,First,2013,1800.0,15.3,111616,5.0,5.53
Renault,Petrol,Manual,Third,2014,1000.0,14.4,72173,5.0,4.67
Honda,CNG,Automatic,First,2024,1600.0,19.8,36781,5.0,15.97
Volkswagen,Diesel,Automatic,First,2022,2000.0,11.9,18652,4.0,14.05
Maruti,Diesel,Automatic,First,2012,1600.0,15.6,10103,5.0,8.37
Toyota,Petrol,Manual,First,2025,1600.0,23.4,30500,5.0,15.89
Toyota,Petrol,Automatic,First,2025,2200.0,19.9,105336,7.0,17.28
Tata,Petrol,Automatic,First,2017,1400.0,20.8,118499,5.0,8.45
Volkswagen,Petrol,Manual,Second,2024,1600.0,15.7,54393,4.0,12.77
Volkswagen,Diesel,Automatic,First,2017,1200.0,12.6,52406,5.0,13.33
Toyota,Diesel,Manual,First,2012,1400.0,,68059,5.0,10.07
Volkswagen,CNG,Manual,First,2022,800.0,21.3,87722,4.0,10.01
Honda,CNG,Manual,Second,2024,1600.0,21.1,17356,7.0,11.42
Ford,Petrol,Manual,First,2014,1600.0,18.7,133128,5.0,6.64
Hyundai,Diesel,Manual,First,2016,800.0,14.6,7187,5.0,8.9
Renault,CNG,Manual,First,2014,1600.0,26.5,82243,5.0,7.5
Nissan,Diesel,Manual,First,2021,800.0,19.7,40098,5.0,10.23
Tata,Petrol,Automatic,Second,2014,1400.0,17.4,139678,5.0,6.21
Ford,Petrol,Manual,First,2025,1200.0,17.4,62620,7.0,10.91
Toyota,Petrol,Manual,First,2021,800.0,18.5,131270,5.0,11.88
Renault,CNG,Manual,Second,2014,1000.0,21.7,19387,7.0,7.21
Volkswagen,Diesel,Automatic,First,2016,2200.0,18.7,74463,5.0,11.36
Nissan,Petrol,Manual,First,2024,2200.0,21.0,138663,7.0,13.09
Volkswagen,Diesel,Manual,First,2016,800.0,18.5,96683,5.0,9.29
Maruti,Diesel,Automatic,Third,2015,2200.0,17.6,67061,6.0,10.07
Maruti,Petrol,Manual,First,2012,1600.0,20.2,86257,5.0,4.53
Nissan,Petrol,Manual,Second,2016,2000.0,20.1,66753,7.0,7.2
Nissan,Diesel,Manual,First,2021,2000.0,17.4,89774,5.0,10.72
Toyota,Petrol,Automatic,First,2016,2200.0,15.4,147159,5.0,12.5
Nissan,Diesel,Manual,First,2015,1400.0,19.2,28408,4.0,9.96
Honda,Petrol,Automatic,Third,2017,1800.0,18.3,129116,7.0,10.41
Volkswagen,Diesel,Manual,First,2021,1400.0,16.1,136208,5.0,10.74
Ford,Petrol,Automatic,Second,2015,1800.0,15.1,22413,7.0,8.84
Kia,Petrol,Automatic,Second,2025,2000.0,19.4,118650,5.0,15.66
Nissan,Diesel,Automatic,First,2018,2000.0,19.9,64500,5.0,11.16
Tata,Petrol,Manual,First,2018,800.0,16.7,89514,4.0,8.38
Maruti,Petrol,Automatic,First,2013,1200.0,16.0,61358,7.0,7.5
Honda,Petrol,Manual,First,2014,1000.0,15.1,71197,6.0,8.17
Renault,Diesel,Manual,Second,2012,1400.0,19.3,81240,7.0,6.68
Kia,Diesel,Manual,Second,2019,1600.0,15.2,21322,5.0,11.31
Ford,Diesel,Automatic,First,2020,1800.0,25.8,118053,5.0,12.27
Kia,Petrol,Automatic,First,2015,2200.0,16.6,11968,6.0,12.14
Nissan,Petrol,Automatic,Second,2017,1600.0,10.0,32518,5.0,9.27
Toyota,Petrol,Manual,First,2020,1200.0,17.9,56925,7.0,12.67
Maruti,Petrol,Manual,Second,2017,1800.0,17.7,116900,7.0,6.65
Maruti,Diesel,Automatic,First,2025,1400.0,21.9,98422,7.0,13.82
Renault,Petrol,Manual,Second,2023,800.0,19.0,6700,7.0,10.16
Toyota,Petrol,Manual,First,2023,1600.0,15.1,98782,5.0,11.36
Volkswagen,CNG,Manual,First,2023,1200.0,17.0,28199,5.0,12.29
Hyundai,Petrol,Manual,First,2020,1400.0,19.1,10520,7.0,9.74
Honda,Petrol,Manual,First,2015,2000.0,10.4,114814,4.0,6.6
Maruti,Diesel,Manual,First,2019,2000.0,22.7,128364,7.0,8.72
Tata,Petrol,Manual,Second,2020,1400.0,,19955,7.0,7.68
Maruti,Diesel,Manual,Second,2015,1400.0,23.0,149989,5.0,5.16
Kia,Diesel,Automatic,First,2016,1400.0,19.4,69925,7.0,12.19
Maruti,CNG,Manual,First,2025,1800.0,20.2,112216,5.0,12.36
Maruti,Petrol,Manual,First,2019,1400.0,22.0,75269,5.0,8.2
Hyundai,CNG,Manual,First,2023,1600.0,20.0,46458,5.0,11.12
Hyundai,Petrol,Manual,First,2021,1200.0,20.4,94037,5.0,9.65
Ford,Petrol,Automatic,First,2025,1800.0,17.4,104977,5.0,13.41
Volkswagen,Petrol,Automatic,First,2017,1400.0,19.3,48939,5.0,11.56
Tata,CNG,Manual,First,2023,1000.0,15.9,34345,7.0,9.34
Maruti,Petrol,Manual,First,2018,2200.0,16.8,115107,7.0,9.82
Maruti,Petrol,Automatic,First,2014,1000.0,24.9,126866,5.0,8.95
Honda,Diesel,Automatic,Third,2018,1200.0,15.2,74166,5.0,8.84
Hyundai,Petrol,Manual,First,2023,2000.0,18.5,102406,7.0,10.52
Tata,Petrol,Manual,Second,2025,800.0,18.4,54298,5.0,9.68
Renault,Petrol,Manual,First,2019,800.0,16.9,49942,5.0,7.12
Ford,Petrol,Automatic,First,2021,2200.0,19.8,8453,5.0,13.9
Volkswagen,Petrol,Manual,Second,2017,2000.0,20.1,107811,5.0,8.63
Toyota,Petrol,Automatic,Second,2021,1800.0,14.8,59935,5.0,15.73
Volkswagen,Diesel,Manual,Third,2020,1800.0,18.4,127439,7.0,11.58
Kia,Petrol,Manual,First,2024,1800.0,14.2,13328,5.0,13.83
Maruti,Petrol,Manual,First,2017,800.0,20.8,20534,5.0,8.42
Ford,Diesel,Manual,Second,2023,1000.0,18.6,90280,5.0,10.98
Kia,Petrol,Manual,First,2020,800.0,18.3,41320,5.0,10.4
Tata,Diesel,Manual,First,2024,1600.0,20.3,54170,6.0,11.49
Toyota,Petrol,Manual,First,2015,1400.0,17.0,105546,7.0,10.14
Hyundai,Petrol,Automatic,First,2019,1800.0,21.2,85201,7.0,12.39
Ford,Petrol,Manual,Second,2022,1000.0,14.7,13640,5.0,9.52
Ford,Petrol,Manual,First,2015,1200.0,22.9,141690,7.0,5.93
Maruti,Petrol,Automatic,First,2013,2200.0,16.1,137992,7.0,7.37
Nissan,Petrol,Automatic,First,2021,1200.0,12.1,48937,7.0,11.28
Ford,Petrol,Automatic,First,2022,1400.0,16.9,148279,5.0,10.93
Honda,Petrol,Automatic,First,2020,1000.0,16.5,146871,4.0,12.03
Toyota,Petrol,Manual,First,2016,800.0,16.8,75463,5.0,8.51
Toyota,Petrol,Manual,First,2015,800.0,18.8,98500,6.0,9.52
Honda,Petrol,Automatic,Second,2013,1600.0,21.8,42158,5.0,10.51
Renault,Petrol,Manual,First,2012,1600.0,17.3,89607,5.0,7.29
Honda,Diesel,Manual,First,2022,800.0,15.6,124639,7.0,10.4
Honda,Petrol,Automatic,Second,2018,1200.0,14.1,76696,7.0,10.64
Toyota,Diesel,Manual,Second,2017,2200.0,16.4,66510,,12.84
Volkswagen,Diesel,Manual,First,2013,1800.0,11.4,125076,5.0,7.88
Toyota,Petrol,Manual,First,2019,1200.0,15.5,63692,6.0,11.29
Nissan,Diesel,Manual,First,2022,2200.0,22.4,135841,5.0,11.8
Maruti,CNG,Manual,Second,2015,1600.0,15.1,20810,5.0,4.21
Kia,Petrol,Manual,Third,2019,1400.0,20.2,141198,5.0,9.49
Volkswagen,Petrol,Automatic,Second,2018,2200.0,13.7,116718,5.0,11.03
Hyundai,Diesel,Manual,First,2016,800.0,24.2,95932,5.0,7.73
Kia,Diesel,Manual,Second,2021,1600.0,24.4,5192,7.0,15.52
Maruti,Petrol,Automatic,First,2021,1600.0,20.1,41413,5.0,11.17
Nissan,Petrol,Automatic,First,2023,1800.0,25.0,148888,7.0,12.67
Nissan,Petrol,Automatic,First,2019,800.0,19.2,44082,5.0,11.88
Hyundai,Petrol,Automatic,Third,2025,1800.0,20.7,70048,5.0,11.98
Volkswagen,Diesel,Manual,First,2020,800.0,22.4,128130,5.0,10.08
Renault,Petrol,Manual,Second,2016,1800.0,18.6,55940,5.0,7.11
Honda,Petrol,Manual,First,2021,2200.0,12.6,45142,5.0,12.01
Volkswagen,Diesel,Manual,First,2016,1200.0,20.8,41468,5.0,10.37
Renault,Petrol,Manual,First,2013,1400.0,16.3,146727,5.0,3.84
Nissan,Petrol,Manual,First,2016,1400.0,16.6,145431,5.0,6.05
Toyota,Diesel,Automatic,Second,2014,800.0,19.0,134048,5.0,9.71
Maruti,Diesel,Manual,First,2018,1000.0,20.0,47056,7.0,9.09
Hyundai,Petrol,Manual,Second,2021,2000.0,,56831,5.0,10.19
Maruti,Petrol,Manual,Second,2016,1600.0,20.2,64191,7.0,7.68
Tata,Petrol,Manual,Second,2019,1600.0,15.5,126948,6.0,5.77
Tata,Petrol,Manual,First,2012,800.0,17.9,113117,7.0,5.74
Volkswagen,Petrol,Automatic,First,2014,2200.0,21.0,19671,7.0,12.55
Nissan,Petrol,Manual,First,2014,1800.0,24.2,32048,5.0,9.34
Nissan,Petrol,Manual,Third,2020,1000.0,25.4,30963,6.0,9.08
Honda,Petrol,Manual,Second,2016,1200.0,19.5,48954,7.0,9.36
Honda,Petrol,Automatic,First,2023,1800.0,20.9,100430,5.0,14.04
Honda,Petrol,Manual,Second,2020,1800.0,24.9,5717,5.0,12.52
Toyota,Petrol,Manual,First,2024,800.0,15.7,16676,4.0,13.99
Kia,Petrol,Manual,First,2020,800.0,20.2,140506,7.0,10.28
Ford,Petrol,Manual,First,2012,2200.0,20.7,123696,7.0,8.94
Kia,Diesel,Automatic,Second,2013,1600.0,,135830,5.0,10.83
Maruti,Diesel,Automatic,First,2016,800.0,14.0,9994,5.0,9.68
Kia,Diesel,Manual,Second,2015,800.0,14.7,9234,5.0,7.86
Toyota,Diesel,Automatic,Second,2021,800.0,18.1,74300,5.0,12.73
Maruti,Petrol,Automatic,Second,2020,2200.0,19.3,48949,7.0,11.88
Kia,Petrol,Manual,First,2018,1600.0,21.9,42405,5.0,11.44
Toyota,Petrol,Automatic,First,2017,1200.0,19.8,39872,5.0,12.55
Ford,Diesel,Manual,First,2018,1200.0,17.5,47215,5.0,9.46
Kia,Diesel,Manual,First,2012,2000.0,19.5,28185,7.0,11.78
Toyota,Petrol,Manual,First,2012,2000.0,19.1,46153,4.0,10.51
Honda,Petrol,Automatic,Third,2019,800.0,24.1,82535,6.0,9.21
Nissan,Petrol,Manual,First,2024,2000.0,18.6,138653,5.0,10.75
Honda,Petrol,Automatic,First,2024,1600.0,16.7,56717,5.0,13.31
Nissan,Diesel,Automatic,First,2013,2200.0,19.6,7763,5.0,10.42
Hyundai,Petrol,Manual,First,2023,1200.0,18.7,97910,5.0,9.62
Hyundai,Petrol,Automatic,First,2021,1800.0,12.5,60480,5.0,11.08
Hyundai,CNG,Manual,First,2022,1200.0,17.9,123094,7.0,8.45
Ford,Diesel,Manual,Second,2020,1200.0,17.6,16064,7.0,10.27
Honda,Petrol,Automatic,First,2018,,16.1,81848,7.0,11.12
Nissan,Petrol,Manual,Third,2017,2000.0,21.6,42548,5.0,5.81
Toyota,Petrol,Automatic,Second,2012,1800.0,15.3,11476,7.0,12.99
Maruti,Petrol,Automatic,First,2012,1600.0,19.6,95101,5.0,8.11
Toyota,Petrol,Manual,Third,2013,800.0,17.5,7382,5.0,7.74
Maruti,Petrol,Manual,First,2017,2200.0,18.4,84698,5.0,8.28
Tata,Petrol,Manual,Second,2025,1400.0,19.4,50095,5.0,9.84
Toyota,Petrol,Manual,First,2017,1200.0,13.4,134974,6.0,10.82
Kia,Diesel,Automatic,Second,2013,1400.0,18.7,32197,5.0,12.2
Kia,Petrol,Manual,Second,2012,2200.0,26.0,132619,5.0,8.27
Volkswagen,Petrol,Manual,Second,2021,2200.0,12.6,27010,5.0,12.17
Honda,Petrol,Manual,Second,2016,1600.0,17.8,92923,5.0,7.91
Maruti,CNG,Manual,First,2016,1600.0,21.9,138962,5.0,5.55
Maruti,Petrol,Automatic,First,2013,1600.0,19.1,135526,5.0,6.79
Honda,Petrol,Manual,First,2017,1400.0,20.4,114162,7.0,9.26
Ford,CNG,Automatic,First,2020,1600.0,10.0,125927,7.0,9.91
Volkswagen,Diesel,Manual,Second,2013,2200.0,20.1,13026,5.0,9.54
Ford,Diesel,Automatic,First,2021,,15.3,69925,5.0,11.36
Ford,Petrol,Manual,Third,2013,1600.0,19.1,73842,5.0,5.5
Ford,Petrol,Manual,First,2014,1000.0,17.9,38665,7.0,7.31
Honda,Diesel,Automatic,Second,2024,2000.0,26.0,14277,5.0,15.12
Ford,CNG,Manual,First,2018,1400.0,19.9,53008,5.0,8.18
Kia,Petrol,Automatic,Second,2017,1000.0,17.6,19683,5.0,10.1
Hyundai,Petrol,Manual,Second,2023,1600.0,12.7,136742,5.0,9.45
Tata,Petrol,Manual,First,2019,2200.0,18.4,83542,5.0,7.73
Maruti,Diesel,Manual,First,2019,800.0,20.9,59319,7.0,10.2
Maruti,Petrol,Manual,Second,2017,1200.0,17.7,97067,5.0,7.25
Tata,Petrol,Manual,First,2023,1800.0,16.2,73975,5.0,10.27
Honda,Petrol,Manual,First,2022,2000.0,16.0,106158,7.0,9.54
Toyota,Petrol,Manual,First,2021,1800.0,19.9,16577,7.0,14.14
Honda,Petrol,Manual,First,2014,1600.0,20.7,82299,5.0,7.99
Maruti,Petrol,Manual,First,2014,2000.0,22.8,25176,5.0,7.11
Maruti,Diesel,Automatic,First,2012,2000.0,14.5,68972,5.0,7.91
Tata,Petrol,Automatic,First,2018,800.0,19.8,125018,7.0,10.48
Ford,Diesel,Automatic,First,2016,2000.0,17.6,24996,5.0,12.07
Honda,Petrol,Automatic,Third,2015,1400.0,17.7,105922,7.0,8.0
Nissan,Petrol,Manual,First,2021,1000.0,19.4,91598,6.0,7.74
Tata,Petrol,Automatic,Third,2015,1000.0,19.4,40931,,7.25
Kia,Petrol,Manual,First,2025,1000.0,19.9,129168,4.0,12.13
Maruti,Petrol,Manual,First,2015,1400.0,14.3,128099,5.0,5.93
Tata,Petrol,Manual,First,2017,1800.0,15.4,39693,5.0,7.9
Honda,Petrol,Manual,First,2019,800.0,23.2,113944,5.0,9.46
Maruti,CNG,Automatic,First,2019,2000.0,17.2,22374,6.0,12.64
Toyota,Petrol,Manual,First,2016,1400.0,19.1,86471,7.0,11.58
Tata,Diesel,Manual,First,2017,1000.0,21.7,50913,5.0,8.62
Volkswagen,Petrol,Manual,First,2015,1600.0,19.6,128683,7.0,8.65
Maruti,Diesel,Automatic,Second,2023,1200.0,19.9,49516,5.0,11.77
Honda,Diesel,Manual,First,2025,2000.0,21.1,92796,5.0,14.8
Hyundai,Diesel,Manual,First,2022,1400.0,10.6,31069,5.0,10.07
Nissan,Petrol,Manual,Second,2024,2200.0,16.3,123333,5.0,10.37
Renault,Petrol,Automatic,First,2020,1400.0,19.6,89811,7.0,11.16
Ford,Petrol,Manual,First,2019,800.0,22.9,123028,6.0,7.71
Renault,CNG,Manual,Third,2021,800.0,18.2,44178,5.0,6.43
Honda,Diesel,Manual,First,2023,1400.0,15.0,37821,5.0,12.6
Kia,CNG,Manual,Second,2021,1000.0,15.1,21999,5.0,10.48
Kia,Petrol,Manual,Third,2012,1200.0,21.1,43712,5.0,7.43
Hyundai,Diesel,Manual,First,2013,2000.0,17.2,38722,7.0,8.15
Ford,CNG,Automatic,First,2020,800.0,18.0,15625,7.0,12.41
Volkswagen,Petrol,Manual,First,2019,2000.0,20.2,11859,5.0,11.22
Hyundai,Petrol,Manual,First,2025,1000.0,10.0,115986,5.0,10.84
Renault,Diesel,Automatic,First,2014,2000.0,25.0,26839,5.0,9.52
Hyundai,Petrol,Manual,Second,2019,1600.0,15.4,32216,5.0,8.86
Renault,Diesel,Manual,First,2023,800.0,18.8,57953,5.0,10.84
Maruti,Petrol,Manual,First,2012,1000.0,12.0,54522,5.0,3.81
Kia,Diesel,Manual,Third,2021,1000.0,16.5,140958,6.0,10.08
Maruti,Petrol,Automatic,Second,2015,1200.0,22.4,116249,6.0,8.37
Nissan,Petrol,Manual,First,2014,1200.0,11.3,12485,5.0,4.69
Ford,Petrol,Automatic,First,2017,1600.0,21.9,117701,5.0,10.4
Volkswagen,Diesel,Manual,First,2018,1000.0,17.0,107638,5.0,7.63
Renault,Diesel,Manual,First,2015,1800.0,19.7,17226,5.0,8.11
Volkswagen,Petrol,Manual,First,2018,1000.0,20.3,98405,7.0,11.07
Renault,Petrol,Manual,First,2020,1200.0,19.5,27588,4.0,8.85
Honda,Diesel,Manual,Second,2022,1800.0,15.0,42019,5.0,10.72
Hyundai,Petrol,Automatic,First,2013,800.0,16.7,70133,5.0,7.05
Nissan,Diesel,Manual,First,2022,800.0,12.9,119444,7.0,11.17
Kia,Petrol,Automatic,First,2014,2000.0,19.7,122603,5.0,9.27
Renault,Petrol,Manual,First,2016,1400.0,24.0,133585,5.0,6.22
Volkswagen,Petrol,Automatic,Second,2014,1200.0,11.6,48395,5.0,9.86
Nissan,Petrol,Automatic,Second,2022,1400.0,15.3,130814,7.0,12.13
Toyota,Diesel,Automatic,Second,2019,1800.0,17.4,117599,7.0,13.95
Toyota,Petrol,Automatic,First,2023,1200.0,18.6,30939,5.0,14.56
Maruti,Petrol,Automatic,First,2021,1600.0,21.1,5203,7.0,14.42
Kia,Diesel,Manual,First,2019,1000.0,17.5,34063,7.0,13.26
Honda,Petrol,Manual,First,2019,1600.0,16.9,95880,7.0,10.64
Volkswagen,Petrol,Manual,First,2023,1800.0,21.9,8748,5.0,12.92
Hyundai,CNG,Automatic,Second,2023,1200.0,20.3,122269,5.0,10.68
Hyundai,Diesel,Manual,First,2020,2200.0,19.9,85764,5.0,10.83
Volkswagen,Petrol,Automatic,First,2015,1800.0,18.4,113036,7.0,11.17
Ford,CNG,Manual,First,2016,2200.0,21.4,121525,5.0,9.36
Honda,Diesel,Manual,First,2016,1000.0,15.7,90679,6.0,9.07
Nissan,Petrol,Manual,First,2019,800.0,15.2,130829,5.0,6.19
